"our_","our_topic_label","our_issue_area","pa_code1","pa_code1_label","pa_code2","pa_code2_label"
3,"Investigation of Benghazi Attack","Political Scandal",16,"Defense",16,"Defense"
7,"100 Days of #BringBackOurGirls campaign","Foregin Policy",19,"International Affairs",19,"International Affairs"
9,"Gender Wage Gap","Social Issue",2,"Civil Rights",2,"Civil Rights"
11,"Hobby Lobby Supreme Court Decision (Democrats)","Social Issue",2,"Civil Rights",2,"Civil Rights"
12,"Republican Issues Spring 2013","Legislative Activity",6,"Education",6,"Education"
14,"Marriage Equality","Social Issue",2,"Civil Rights",2,"Civil Rights"
15,"Gun Violence","Social Issue",12,"Law and Crime",12,"Law and Crime"
16,"Abortion (Pro-Life)","Social Issue",2,"Civil Rights",2,"Civil Rights"
17,"2013 Government Shutdown (Republicans)","Economic Issue",20,"Government Operations",1,"Macroeconomics"
18,"Veteran Affairs Delays Scandal","Political Scandal",16,"Defense",16,"Defense"
20,"NSA Surveillance Scandal","Political Scandal",16,"Defense",16,"Defense"
23,"#BringBackOurGirls campaign","Foregin Policy",19,"International Affairs",19,"International Affairs"
26,"2013 Government Shutdown (Democrats)","Economic Issue",20,"Government Operations",1,"Macroeconomics"
27,"Student Debt (2014)","Social Issue",6,"Education",6,"Education"
28,"Employment Non-Discrimination Act","Social Issue",2,"Civil Rights",5,"Labor"
32,"Islamic State","Foregin Policy",16,"Defense",16,"Defense"
33,"Use of Military Force in Syria","Foregin Policy",16,"Defense",16,"Defense"
35,"2013 Budget Sequestration (Republicans)","Economic Issue",20,"Government Operations",1,"Macroeconomics"
36,"Ebola","Foregin Policy",3,"Health",3,"Health"
37,"Social Security","Economic Issue",13,"Social Welfare",13,"Social Welfare"
38,"Budget Discussion (early 2014)","Economic Issue",20,"Government Operations",1,"Macroeconomics"
39,"Keystone XL Pipeline","Economic Issue",8,"Energy",8,"Energy"
41,"Immigration (Border Security)","Social Issue",9,"Immigration",9,"Immigration"
42,"2013 Budget Sequestration (Democrats)","Economic Issue",20,"Government Operations",1,"Macroeconomics"
43,"Executive Action on Immigration","Social Issue",9,"Immigration",9,"Immigration"
46,"Unemployment Numbers Reports","Economic Issue",1,"Macroeconomics",1,"Macroeconomics"
47,"Paul Ryan Budget Proposal","Economic Issue",20,"Government Operations",1,"Macroeconomics"
48,"Black History Month","Social Issue",2,"Civil Rights",2,"Civil Rights"
49,"2013 Budget Agreement","Economic Issue",20,"Government Operations",1,"Macroeconomics"
50,"Climate Change","Social Issue",7,"Environment",7,"Environment"
51,"Lame Duck Congress","Legislative Activity",20,"Government Operations",20,"Government Operations"
53,"Minimum Wage","Economic Issue",5,"Labor",5,"Labor"
56,"Student Debt (2013)","Social Issue",6,"Education",6,"Education"
58,"Affordable Care Act","Social Issue",3,"Health",3,"Health"
59,"Budget Discussion (mid-2014)","Economic Issue",20,"Government Operations",1,"Macroeconomics"
62,"Border Crisis in Texas","Social Issue",9,"Immigration",9,"Immigration"
63,"Obamacare (Employer Mandate)","Social Issue",3,"Health",3,"Health"
64,"FAA Furloughs Cause Flight Delays","Economic Issue",20,"Government Operations",20,"Government Operations"
66,"Malaysian Airlines Crash in Ukraine","Foregin Policy",19,"International Affairs",19,"International Affairs"
67,"Comprehensive Immigration Reform","Social Issue",9,"Immigration",9,"Immigration"
70,"#MiddleClassFirst campaign","Economic Issue",1,"Macroeconomics",1,"Macroeconomics"
74,"Hobby Lobby Supreme Court Decision (Republicans)","Social Issue",2,"Civil Rights",2,"Civil Rights"
75,"Military Justice Improvement Act","Social Issue",12,"Law and Crime",16,"Defense"
81,"Poverty (SNAP program)","Social Issue",13,"Social Welfare",13,"Social Welfare"
83,"21st Century Cures Initiative","Economic Issue",3,"Health",3,"Health"
85,"Unemployment Insurance","Social Issue",13,"Social Welfare",5,"Labor"
88,"IRS Scandal","Political Scandal",1,"Macroeconomics",1,"Macroeconomics"
89,"Obamacare (Website and Implementation)","Social Issue",3,"Health",3,"Health"
93,"Jobs Bills Omnibus","Economic Issue",5,"Labor",5,"Labor"
96,"Violence Against Women Act","Social Issue",12,"Law and Crime",2,"Civil Rights"
97,"Protests in Ukraine and Venezuela","Foregin Policy",19,"International Affairs",19,"International Affairs"
99,"CIA Detentions and Interrogations Report","Foregin Policy",16,"Defense",16,"Defense"
100,"#ObamacareInThreeWords Campaign","Social Issue",3,"Health",3,"Health"
101,"Student Debt","Social Issue",6,"Education",6,"Education"
102,"Hobby Lobby Supreme Court Decision","Social Issue",2,"Civil Rights",2,"Civil Rights"
103,"Budget Discussion","Economic Issue",1,"Macroeconomics",1,"Macroeconomics"
104,"2013 Government Shutdown","Economic Issue",1,"Macroeconomics",1,"Macroeconomics"
